iter	MultiClass
0	1.074382458
1	1.051508555
2	1.030292773
3	1.009470387
4	0.9902385175
5	0.9730654553
6	0.9563556498
7	0.9408393878
8	0.9269390053
9	0.9129067675
10	0.8997776158
11	0.8866286304
12	0.8744525517
13	0.8630213105
14	0.8521806158
15	0.8419314321
16	0.8320312856
17	0.8224051747
18	0.8130661297
19	0.8042210749
20	0.7957481
21	0.7875040885
22	0.7798252856
23	0.7721471297
24	0.7650886293
25	0.7580162036
26	0.7512653197
27	0.7451913866
28	0.7392121721
29	0.7337126077
30	0.7281810424
31	0.7228126521
32	0.7178368859
33	0.7128379253
34	0.7082579265
35	0.7036247764
36	0.6990444569
37	0.6950349189
38	0.6908899578
39	0.686820093
40	0.6829174736
41	0.6790447079
42	0.6755633238
43	0.6721881284
44	0.6688152029
45	0.6654520009
46	0.6622771579
47	0.6592443238
48	0.6562270939
49	0.6533191425
50	0.6506035511
51	0.6475418459
52	0.6447599503
53	0.6421273226
54	0.6400571385
55	0.6376690772
56	0.6351696689
57	0.632587882
58	0.6302157426
59	0.6281491886
60	0.6263638847
61	0.6240463679
62	0.6219087285
63	0.6198432926
64	0.6178704582
65	0.6158147862
66	0.6140726367
67	0.6122439054
68	0.6103021784
69	0.6085937795
70	0.6068696413
71	0.6051407467
72	0.6035817945
73	0.6021112905
74	0.6005504848
75	0.5990727354
76	0.5974737033
77	0.5960323839
78	0.5947479219
79	0.5933154729
80	0.5917355814
81	0.5902937703
82	0.5890556757
83	0.5879468318
84	0.5867126106
85	0.5854860566
86	0.5843453518
87	0.5833196271
88	0.5820989269
89	0.5810103726
90	0.5800267361
91	0.5791241429
92	0.5782393779
93	0.5771293524
94	0.576358038
95	0.5754281181
96	0.5741734505
97	0.5733924519
98	0.5725571923
99	0.5715290021
100	0.5705416064
101	0.5697781102
102	0.5689658779
103	0.5683809579
104	0.5674287251
105	0.5665346192
106	0.5657256913
107	0.5647809084
108	0.564064628
109	0.5632915047
110	0.5625149515
111	0.5618667706
112	0.5611323008
113	0.5604624079
114	0.5594195858
115	0.558528606
116	0.5575604881
117	0.556799985
118	0.556162266
119	0.5555402252
120	0.5548773924
121	0.5541053003
122	0.5533980838
123	0.5528540262
124	0.5522387772
125	0.5515616821
126	0.5510366035
127	0.5503036722
128	0.5496148439
129	0.5489993037
130	0.5485183639
131	0.5478741106
132	0.5471094423
133	0.5465305588
134	0.5460632661
135	0.5456436379
136	0.5450221667
137	0.5443311606
138	0.5440608339
139	0.5435011796
140	0.5429012681
141	0.5422131261
142	0.5414020012
143	0.5410342255
144	0.5405476875
145	0.5400509464
146	0.5395661065
147	0.5391427628
148	0.5386503302
149	0.5381173493
150	0.5376643705
151	0.5370818011
152	0.5367149683
153	0.5361727334
154	0.5358091889
155	0.5352181202
156	0.5348461722
157	0.5344306029
158	0.5338894717
159	0.5333415101
160	0.5327644591
161	0.5322117608
162	0.5319411195
163	0.5314646129
164	0.5310530394
165	0.5308349001
166	0.530517071
167	0.5298921323
168	0.5294721013
169	0.528867867
170	0.5282957888
171	0.5282849181
172	0.5277803663
173	0.5273641209
174	0.5268830591
175	0.5264730768
176	0.5262188513
177	0.5258811109
178	0.5255070695
179	0.525258277
180	0.5250074471
181	0.5246436602
182	0.5241736579
183	0.5237988522
184	0.523372091
185	0.5231678205
186	0.5226740825
187	0.5226664137
188	0.5223224517
189	0.521937696
190	0.5216860795
191	0.5214449137
192	0.5210210549
193	0.5205692093
194	0.5201988668
195	0.5199759372
196	0.5197725703
197	0.5194657334
198	0.519271834
199	0.5189227214
200	0.5185926385
201	0.5182342508
202	0.5180191089
203	0.5176899953
204	0.5174383811
205	0.5171868399
206	0.5169285327
207	0.5166767755
208	0.516409382
209	0.5158959306
210	0.5156923545
211	0.5155237159
212	0.5150666465
213	0.5146621847
214	0.5143623622
215	0.5139119046
216	0.5137023924
217	0.5134517753
218	0.51324983
219	0.5128931658
220	0.5126942305
221	0.5124880682
222	0.51213589
223	0.5117913716
224	0.5113973438
225	0.5111920689
226	0.5109560042
227	0.5106729811
228	0.5104105405
229	0.5100328752
230	0.509874876
231	0.5095259542
232	0.5093574907
233	0.5089167347
234	0.5085304582
235	0.5083946325
236	0.5081689163
237	0.5079542686
238	0.5077404255
239	0.5074658202
240	0.5071328343
241	0.5068283003
242	0.50646062
243	0.5062508086
244	0.506074604
245	0.5058369145
246	0.5057129148
247	0.5054932753
248	0.5052613095
249	0.5050396923
250	0.5045766736
251	0.5044165862
252	0.5042508007
253	0.5041586565
254	0.5037528749
255	0.5035053649
256	0.5033127749
257	0.5030868819
258	0.5029400678
259	0.502636192
260	0.5022701755
261	0.5019142836
262	0.5016122559
263	0.5014412669
264	0.5012622526
265	0.5010894367
266	0.5009093522
267	0.5005765421
268	0.5002259009
269	0.500009824
270	0.4998094154
271	0.4996122729
272	0.4993242152
273	0.4991004801
274	0.498982694
275	0.4988213444
276	0.4986351957
277	0.4982943122
278	0.4981490502
279	0.4979396251
280	0.4976407509
281	0.497280315
282	0.4970545294
283	0.4968665676
284	0.4966541002
285	0.4964677933
286	0.4962464469
287	0.4959682449
288	0.4958524055
289	0.4955907176
290	0.495313382
291	0.4951534493
292	0.4948237817
293	0.4947477082
294	0.4944165507
295	0.4942476186
296	0.4940799633
297	0.493966463
298	0.4937678658
299	0.4934833807
300	0.4932804907
301	0.4929926832
302	0.4927617419
303	0.492395701
304	0.492244888
305	0.492024669
306	0.4917340314
307	0.4913435092
308	0.4908918149
309	0.490771075
310	0.4905881249
311	0.4904791747
312	0.4902181867
313	0.4900823004
314	0.4899393301
315	0.4897247448
316	0.489565851
317	0.4893388976
318	0.4889753904
319	0.4887507219
320	0.4885789722
321	0.4883638937
322	0.4882312584
323	0.4879323668
324	0.4877262209
325	0.4874579844
326	0.4872942577
327	0.4870954773
328	0.4868595967
329	0.4866758034
330	0.4864285163
331	0.4862442904
332	0.4860583112
333	0.4858899002
334	0.4856629595
335	0.4853316002
336	0.4851598422
337	0.4851066649
338	0.4849653255
339	0.4848476864
340	0.484738368
341	0.4845895077
342	0.4844634034
343	0.4842120528
344	0.4838725682
345	0.483716
346	0.4834843653
347	0.4833053007
348	0.483187228
349	0.4830662153
350	0.482866457
351	0.4826293074
352	0.4824474707
353	0.4823001815
354	0.4821610962
355	0.4818223638
356	0.4815976212
357	0.4814031349
358	0.4812146243
359	0.4810388778
360	0.4808424821
361	0.480556751
362	0.4803712091
363	0.4801869985
364	0.479864614
365	0.4797345387
366	0.4795035966
367	0.4791789714
368	0.4790101608
369	0.478780379
370	0.4785832943
371	0.4783480998
372	0.4781194594
373	0.4779863793
374	0.4778133781
375	0.4776054004
376	0.4773940764
377	0.477200154
378	0.4770691936
379	0.4768432149
380	0.4767646675
381	0.4765373643
382	0.4764369144
383	0.4763181982
