iter	Passed	Remaining
0	2136	2134440
1	4661	2325879
2	7246	2408322
3	9370	2333156
4	10793	2147904
5	12462	2064538
6	14066	1995404
7	16435	2038022
8	17115	1884593
9	19596	1940039
10	21343	1919005
11	22639	1863949
12	23714	1800456
13	25354	1785661
14	26997	1772814
15	28501	1752867
16	29846	1725842
17	31335	1709517
18	32679	1687273
19	34245	1678029
20	35641	1661560
21	37341	1660016
22	38738	1645551
23	40544	1648816
24	43107	1681177
25	44946	1683767
26	46599	1679314
27	48528	1684619
28	50250	1682522
29	51777	1674144
30	53117	1660358
31	54440	1646817
32	56261	1648619
33	57787	1641835
34	59734	1646966
35	61365	1643229
36	63629	1656097
37	65698	1663198
38	67128	1654110
39	68660	1647848
40	70174	1641393
41	71565	1632381
42	73020	1625134
43	74848	1626253
44	76313	1619534
45	77699	1611430
46	78904	1599917
47	80468	1595957
48	81623	1584163
49	83247	1581695
50	84533	1572978
51	86970	1585543
52	88771	1586156
53	90317	1582222
54	91884	1578737
55	93248	1571897
56	94429	1562225
57	95792	1555802
58	97293	1551752
59	98949	1550210
60	100477	1546702
61	101889	1541493
62	103257	1535755
63	104493	1528218
64	105779	1521601
65	107497	1521253
66	108981	1517608
67	110377	1512825
68	112008	1511309
69	114282	1518320
70	116368	1522624
71	118095	1522115
72	119742	1520568
73	121227	1516975
74	122617	1512287
75	124105	1508867
76	125499	1504359
77	128189	1515269
78	130231	1518267
79	131922	1517103
80	134372	1524550
81	136202	1524801
82	137808	1522536
83	139303	1519076
84	140888	1516627
85	143513	1525244
86	144807	1519651
87	147223	1525770
88	148878	1523918
89	150431	1521025
90	152000	1518334
91	153597	1515938
92	156852	1529732
93	158241	1525180
94	159992	1524135
95	161936	1524906
96	163771	1524594
97	165155	1520103
98	166835	1518369
99	168241	1514173
100	169789	1511291
101	171215	1507365
102	172489	1502165
103	174219	1500971
104	175583	1496639
105	177226	1494719
106	178952	1493502
107	180607	1491681
108	182109	1488616
109	183514	1484800
110	185437	1485173
111	187316	1485148
112	188706	1481263
113	190430	1480012
114	192189	1479020
115	194765	1484249
116	196411	1482321
117	197724	1477905
118	199282	1475356
119	201086	1474636
120	202489	1470974
121	203947	1467755
122	205310	1463882
123	207549	1466233
124	210142	1470997
125	211921	1469996
126	213482	1467482
127	215023	1464848
128	216619	1462598
129	218451	1461947
130	220022	1459537
131	221287	1455133
132	222659	1451475
133	224102	1448302
134	226171	1449171
135	227658	1446300
136	229160	1443543
137	230743	1441310
138	232372	1439372
139	234084	1437946
140	235739	1436174
141	237128	1432790
142	238776	1430987
143	240216	1427955
144	241635	1424816
145	243123	1422105
146	244748	1420207
147	246159	1417079
148	247869	1415685
149	249491	1413785
150	251047	1411519
151	252479	1408572
152	254146	1406942
153	255793	1405202
154	257328	1402856
155	258917	1400809
156	260626	1399415
157	262285	1397750
158	263760	1395111
159	265593	1394363
160	267151	1392174
161	269331	1393207
162	271894	1396170
163	273425	1393803
164	275088	1392114
165	276704	1390188
166	278458	1388959
167	280687	1390069
168	282469	1388947
169	284143	1387287
170	285568	1384423
171	285659	1375150
172	287064	1372268
173	288765	1370807
174	290978	1371755
175	292431	1369113
176	293858	1366357
177	295596	1365059
178	297239	1363314
179	298700	1360747
180	300388	1359214
181	302079	1357695
182	303629	1355547
183	305288	1353887
184	307277	1353679
185	309257	1353417
186	311109	1352577
187	311216	1344190
188	313185	1343880
189	314682	1341540
190	316539	1340735
191	318590	1340735
192	320610	1340584
193	322387	1339405
194	324235	1338511
195	326080	1337595
196	328163	1337641
197	329725	1335556
198	331099	1332716
199	332992	1331969
200	335615	1334114
201	338133	1335796
202	340635	1337372
203	344381	1343763
204	347317	1346913
205	349435	1346854
206	351237	1345560
207	352585	1342538
208	354194	1340515
209	355864	1338727
210	357458	1336659
211	359019	1334467
212	360635	1332488
213	362143	1330114
214	363854	1328493
215	365475	1326542
216	367143	1324761
217	368850	1323125
218	370526	1321376
219	371655	1317688
220	373265	1315718
221	374844	1313644
222	375935	1309872
223	377660	1308323
224	379158	1305991
225	380599	1303470
226	382216	1301557
227	383798	1299529
228	385395	1297553
229	386954	1295456
230	388499	1293315
231	390080	1291299
232	391739	1289545
233	393318	1287531
234	394748	1285031
235	396195	1282597
236	397790	1280651
237	399221	1278181
238	400701	1275874
239	402210	1273665
240	403852	1271885
241	405419	1269867
242	407066	1268105
243	408517	1265734
244	410031	1263567
245	411524	1261338
246	413059	1259245
247	414669	1257384
248	416251	1255440
249	417664	1252993
250	419187	1250882
251	420844	1249172
252	422469	1247370
253	424069	1245495
254	425724	1243783
255	427280	1241785
256	428825	1239755
257	430185	1237200
258	431807	1235403
259	433433	1233618
260	435048	1231804
261	436514	1229571
262	438032	1227490
263	439660	1225720
264	441035	1223250
265	442622	1221372
266	444239	1219579
267	445872	1217829
268	447554	1216217
269	449157	1214387
270	450694	1212383
271	452177	1210240
272	453682	1208157
273	455313	1206415
274	456804	1204303
275	458329	1202285
276	459955	1200532
277	461465	1198482
278	463156	1196901
279	464687	1194910
280	466269	1193051
281	467998	1191569
282	469548	1189633
283	471179	1187903
284	472856	1186289
285	474533	1184674
286	476513	1183812
287	478415	1182749
288	480584	1182337
289	482316	1180842
290	484937	1181514
291	486597	1179832
292	488267	1178173
293	490207	1177165
294	492285	1176479
295	493836	1174530
296	495465	1172768
297	497099	1171019
298	498700	1169194
299	500296	1167359
300	501842	1165407
301	503351	1163375
302	504978	1161617
303	506768	1160232
304	508317	1158297
305	509926	1156500
306	511641	1154942
307	513248	1153142
308	514914	1151476
309	516392	1149390
310	518100	1147818
311	519619	1145828
312	521212	1144002
313	522912	1142413
314	524308	1140162
315	526653	1139972
316	528263	1138182
317	529721	1136069
318	531312	1134243
319	532651	1131883
320	534257	1130095
321	535885	1128354
322	537429	1126439
323	538917	1124407
324	540400	1122370
325	542018	1120615
326	543790	1119176
327	545459	1117527
328	547143	1115905
329	548630	1113886
330	550239	1112114
331	551653	1109953
332	553366	1108395
333	554826	1106330
334	556364	1104425
335	557963	1102642
336	559619	1100972
337	561095	1098949
338	562718	1097218
339	564318	1095441
340	566190	1094191
341	567689	1092220
342	569399	1090657
343	571049	1088978
344	572731	1087359
345	574223	1085381
346	575896	1083748
347	577541	1082060
348	579157	1080319
349	580757	1078549
350	582446	1076945
351	584117	1075306
352	585468	1073082
353	587206	1071569
354	588676	1069567
355	590261	1067776
356	591957	1066186
357	593354	1064060
358	595025	1062426
359	596544	1060523
360	598168	1058807
361	599595	1056745
362	601141	1054895
363	602759	1053174
364	604443	1051566
365	605892	1049551
366	607544	1047890
367	609096	1046056
368	610679	1044278
369	612251	1042482
370	613760	1040580
371	615385	1038876
372	617070	1037273
373	618691	1035564
374	620288	1033814
375	621714	1031781
376	623329	1030064
377	624963	1028379
378	626531	1026585
379	628151	1024879
380	629699	1023054
381	631137	1021055
382	632801	1019422
383	634418	1017712
384	635995	1015940
385	637498	1014051
386	638930	1012053
387	640222	1009835
388	641798	1008069
389	643494	1006491
390	645210	1004943
391	646822	1003234
392	648229	1001209
393	649868	999544
394	651465	997813
395	653033	996040
396	654667	994369
397	656211	992560
398	657688	990653
399	659227	988840
400	660990	987364
401	662633	985709
402	664197	983935
403	665648	981996
404	667327	980394
405	668768	978444
406	670292	976618
407	671905	974921
408	673174	972728
409	674378	970446
410	676022	968800
411	677707	967213
412	679326	965531
413	680980	963900
414	682384	961915
415	683964	960181
416	685470	958343
417	687174	956783
418	688754	955050
419	690285	953251
420	692497	952389
421	694737	951559
422	696621	950238
423	698241	948554
424	699919	946950
425	701625	945382
426	703176	943607
427	704951	942130
428	706484	940332
